2025-12-18T22:15:55 | PORT_SCAN | 140.82.121.6 | 192.168.0.4 | distinct ports=[41951, 41961, 41964, 52686, 52692, 52695]
2025-12-18T22:15:55 | HIGH_VOLUME | 208.103.161.1 | - | connections=148 in interval
2025-12-18T22:15:55 | HIGH_VOLUME | 192.168.0.4 | - | connections=2653 in interval
2025-12-18T22:15:55 | HIGH_VOLUME | 142.250.75.42 | - | connections=118 in interval
2025-12-18T22:15:55 | HIGH_VOLUME | 162.159.61.4 | - | connections=324 in interval
2025-12-18T22:15:55 | HIGH_VOLUME | 104.18.27.48 | - | connections=1516 in interval
2025-12-18T22:15:55 | HIGH_VOLUME | 142.250.75.164 | - | connections=166 in interval
2025-12-18T22:15:55 | HIGH_VOLUME | 142.250.75.132 | - | connections=101 in interval
2025-12-18T22:15:55 | HIGH_VOLUME | 162.55.83.113 | - | connections=154 in interval
2025-12-18T22:15:55 | HIGH_VOLUME | 142.250.75.36 | - | connections=489 in interval
2025-12-18T22:16:36 | PORT_SCAN | 140.82.121.6 | 192.168.0.4 | distinct ports=[41951, 41961, 41964, 52686, 52692, 52695]
2025-12-18T22:16:36 | HIGH_VOLUME | 208.103.161.1 | - | connections=148 in interval
2025-12-18T22:16:36 | HIGH_VOLUME | 192.168.0.4 | - | connections=2653 in interval
2025-12-18T22:16:36 | HIGH_VOLUME | 142.250.75.42 | - | connections=118 in interval
2025-12-18T22:16:36 | HIGH_VOLUME | 162.159.61.4 | - | connections=324 in interval
2025-12-18T22:16:36 | HIGH_VOLUME | 104.18.27.48 | - | connections=1516 in interval
2025-12-18T22:16:36 | HIGH_VOLUME | 142.250.75.164 | - | connections=166 in interval
2025-12-18T22:16:36 | HIGH_VOLUME | 142.250.75.132 | - | connections=101 in interval
2025-12-18T22:16:36 | HIGH_VOLUME | 162.55.83.113 | - | connections=154 in interval
2025-12-18T22:16:36 | HIGH_VOLUME | 142.250.75.36 | - | connections=489 in interval
2025-12-18T22:32:36 | PORT_SCAN | 140.82.121.6 | 192.168.0.4 | distinct ports=[41951, 41961, 41964, 52686, 52692, 52695]
2025-12-18T22:32:36 | HIGH_VOLUME | 208.103.161.1 | - | connections=148 in interval
2025-12-18T22:32:36 | HIGH_VOLUME | 192.168.0.4 | - | connections=2653 in interval
2025-12-18T22:32:36 | HIGH_VOLUME | 142.250.75.42 | - | connections=118 in interval
2025-12-18T22:32:36 | HIGH_VOLUME | 162.159.61.4 | - | connections=324 in interval
2025-12-18T22:32:36 | HIGH_VOLUME | 104.18.27.48 | - | connections=1516 in interval
2025-12-18T22:32:36 | HIGH_VOLUME | 142.250.75.164 | - | connections=166 in interval
2025-12-18T22:32:36 | HIGH_VOLUME | 142.250.75.132 | - | connections=101 in interval
2025-12-18T22:32:36 | HIGH_VOLUME | 162.55.83.113 | - | connections=154 in interval
2025-12-18T22:32:36 | HIGH_VOLUME | 142.250.75.36 | - | connections=489 in interval
